Scanner assembly (base models);CC430-60109;Scanner lid;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-60110;Scanner base;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-60101;Control-panel assembly (Western);;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-60102;Control-panel assembly (Asian);;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00002;Control-panel overlay, English;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00003;Control-panel overlay, Spanish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00004;Control-panel overlay, Portuguese;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00005;Control-panel overlay, German;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00006;Control-panel overlay, French;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00007;Control-panel overlay, Dutch;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00008;Control-panel overlay, Italian;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00009;Control-panel overlay, Swedish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00010;Control-panel overlay, Norwegian;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00011;Control-panel overlay, Finnish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00012;Control-panel overlay, Danish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00013;Control-panel overlay, Russian;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00014;Control-panel overlay, Czech;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00015;Control-panel overlay, Hungarian;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00016;Control-panel overlay, Polish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00017;Control-panel overlay, Slovak;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00018;Control-panel overlay, Turkish;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00019;Control-panel overlay, Greek;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-0020;Control-panel overlay, Hebrew;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00021;Control-panel overlay, Arabic;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00022;Control-panel overlay, Chinese, traditional;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00023;Control-panel overlay, Korean;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00024;Control-panel overlay, Chinese, simplified;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00025;Control-panel overlay, Thai;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (base models);CC430-00026;Control-panel overlay, Vietnamese;;HP_image\HP Color LaserJet CM1312 MFP_1584130919892.png
Scanner assembly (fax/memory-card models);CC431-60131;Automatic document feeder (ADF) assembly;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-60119;ADF input tray;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);5851-2559;ADF pickup roller assembly;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-60113;Scanner assembly;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00002;Control-panel bezel, English;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00003;Control-panel bezel, Spanish;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00004;Control-panel bezel, Portuguese;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00005;Control-panel bezel, German;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00006;Control-panel bezel, French;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00007;Control-panel bezel, Dutch;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00008;Control-panel bezel, Italian;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
Scanner assembly (fax/memory-card models);CC431-00009;Control-panel bezel, Swedish;;HP_image\HP Color LaserJet CM1312 MFP_1584130922373.png
